iter	Passed	Remaining
0	9	9099
1	16	8364
2	25	8402
3	33	8220
4	40	8083
5	48	8019
6	56	8007
7	66	8229
8	75	8365
9	84	8318
10	91	8228
11	98	8113
12	106	8068
13	113	8000
14	121	7981
15	129	7935
16	136	7911
17	144	7860
18	152	7854
19	158	7788
20	166	7772
21	174	7746
22	181	7695
23	188	7671
24	196	7658
25	203	7627
26	211	7622
27	218	7597
28	226	7580
29	233	7546
30	240	7519
31	247	7495
32	255	7480
33	262	7463
34	269	7442
35	277	7427
36	284	7405
37	291	7384
38	299	7371
39	306	7359
40	314	7351
41	321	7336
42	328	7318
43	336	7307
44	344	7305
45	351	7297
46	359	7282
47	366	7263
48	373	7248
49	381	7244
50	388	7231
51	395	7213
52	403	7209
53	410	7191
54	417	7176
55	424	7157
56	431	7140
57	438	7119
58	445	7112
59	453	7098
60	460	7090
61	468	7085
62	475	7065
63	482	7051
64	489	7046
65	497	7037
66	504	7027
67	512	7020
68	519	7009
69	526	6992
70	533	6983
71	540	6968
72	547	6958
73	555	6948
74	562	6941
75	570	6935
76	577	6917
77	584	6903
78	590	6889
79	598	6884
80	605	6870
81	613	6869
82	621	6866
83	628	6852
84	636	6848
85	643	6839
86	650	6829
87	658	6819
88	665	6808
89	672	6801
90	679	6792
91	687	6782
92	694	6776
93	702	6774
94	710	6770
95	717	6760
96	725	6755
97	732	6744
98	739	6730
99	747	6729
100	755	6722
101	762	6711
102	769	6700
103	776	6689
104	783	6678
105	790	6670
106	798	6664
107	805	6655
108	812	6640
109	820	6634
110	826	6622
111	834	6616
112	841	6604
113	848	6594
114	854	6578
115	862	6572
116	869	6561
117	876	6551
118	883	6539
119	890	6533
120	897	6520
121	904	6509
122	911	6496
123	918	6487
124	925	6476
125	931	6463
126	938	6449
127	945	6439
128	951	6426
129	958	6415
130	965	6402
131	972	6392
132	978	6381
133	985	6368
134	992	6360
135	999	6348
136	1006	6337
137	1012	6326
138	1019	6317
139	1026	6308
140	1034	6304
141	1042	6296
142	1048	6286
143	1055	6274
144	1061	6261
145	1068	6252
146	1076	6244
147	1082	6234
148	1089	6222
149	1096	6213
150	1100	6187
151	1107	6180
152	1114	6170
153	1121	6161
154	1128	6153
155	1135	6143
156	1142	6132
157	1149	6127
158	1156	6117
159	1164	6112
160	1171	6104
161	1178	6096
162	1185	6088
163	1192	6078
164	1199	6069
165	1206	6061
166	1213	6051
167	1220	6042
168	1226	6031
169	1233	6021
170	1240	6013
171	1247	6004
172	1254	5996
173	1261	5987
174	1267	5976
175	1274	5968
176	1282	5963
177	1289	5953
178	1296	5947
179	1304	5943
180	1311	5933
181	1318	5924
182	1325	5915
183	1331	5906
184	1338	5898
185	1346	5892
186	1353	5883
187	1361	5878
188	1368	5870
189	1375	5864
190	1382	5855
191	1389	5847
192	1396	5838
193	1404	5836
194	1411	5826
195	1419	5822
196	1427	5816
197	1434	5808
198	1442	5807
199	1452	5810
200	1461	5811
201	1469	5804
202	1476	5797
203	1484	5792
204	1491	5784
205	1498	5777
206	1505	5769
207	1512	5760
208	1519	5752
209	1526	5742
210	1533	5734
211	1541	5728
212	1548	5722
213	1556	5716
214	1563	5710
215	1571	5702
216	1577	5692
217	1585	5686
218	1591	5676
219	1599	5670
220	1606	5661
221	1613	5653
222	1620	5644
223	1627	5637
224	1635	5632
225	1642	5625
226	1649	5616
227	1657	5612
228	1664	5604
229	1672	5599
230	1680	5595
231	1688	5590
232	1696	5583
233	1703	5577
234	1712	5573
235	1719	5565
236	1726	5558
237	1735	5556
238	1744	5555
239	1752	5548
240	1759	5542
241	1767	5535
242	1774	5528
243	1782	5521
244	1788	5512
245	1796	5505
246	1803	5496
247	1809	5487
248	1816	5478
249	1823	5471
250	1830	5463
251	1838	5456
252	1844	5446
253	1851	5438
254	1858	5429
255	1865	5420
256	1872	5413
257	1880	5406
258	1886	5398
259	1894	5391
260	1900	5382
261	1907	5373
262	1914	5364
263	1921	5356
264	1928	5348
265	1934	5339
266	1942	5332
267	1949	5323
268	1956	5316
269	1962	5306
270	1969	5298
271	1976	5290
272	1983	5282
273	1990	5274
274	1997	5267
275	2005	5259
276	2012	5252
277	2019	5243
278	2026	5237
279	2033	5229
280	2040	5221
281	2047	5212
282	2054	5204
283	2061	5197
284	2069	5191
285	2077	5186
286	2084	5177
287	2091	5170
288	2098	5162
289	2105	5154
290	2111	5145
291	2118	5137
292	2125	5128
293	2132	5121
294	2139	5113
295	2146	5105
296	2153	5097
297	2161	5090
298	2167	5082
299	2175	5075
300	2182	5067
301	2188	5058
302	2195	5050
303	2202	5042
304	2209	5035
305	2216	5027
306	2223	5019
307	2231	5013
308	2238	5006
309	2245	4998
310	2253	4992
311	2260	4984
312	2267	4976
313	2274	4968
314	2280	4959
315	2287	4951
316	2294	4943
317	2301	4934
318	2307	4926
319	2314	4918
320	2322	4913
321	2329	4905
322	2337	4900
323	2345	4893
324	2352	4886
325	2360	4879
326	2367	4872
327	2375	4866
328	2382	4858
329	2389	4850
330	2396	4843
331	2403	4836
332	2410	4828
333	2417	4821
334	2424	4813
335	2431	4805
336	2438	4797
337	2445	4789
338	2453	4783
339	2460	4776
340	2467	4767
341	2474	4760
342	2479	4748
343	2486	4742
344	2494	4735
345	2500	4727
346	2508	4719
347	2515	4712
348	2521	4704
349	2528	4696
350	2535	4689
351	2543	4682
352	2551	4676
353	2558	4669
354	2565	4662
355	2573	4656
356	2581	4649
357	2588	4642
358	2595	4634
359	2602	4626
360	2611	4623
361	2617	4612
362	2624	4605
363	2631	4598
364	2639	4591
365	2645	4583
366	2653	4575
367	2660	4568
368	2667	4561
369	2674	4554
370	2681	4546
371	2688	4539
372	2692	4526
373	2700	4520
374	2707	4512
375	2715	4506
376	2722	4499
377	2729	4491
378	2737	4485
379	2744	4477
380	2750	4469
381	2758	4462
382	2765	4455
383	2773	4448
384	2779	4440
385	2787	4433
386	2794	4425
387	2801	4418
388	2808	4410
389	2815	4403
390	2822	4396
391	2825	4383
392	2833	4375
393	2840	4368
394	2847	4361
395	2854	4353
396	2861	4346
397	2868	4338
398	2875	4330
399	2881	4322
400	2888	4314
401	2895	4307
402	2902	4299
403	2909	4292
404	2916	4285
405	2923	4276
406	2929	4268
407	2936	4260
408	2944	4254
409	2951	4247
410	2959	4241
411	2967	4235
412	2975	4229
413	2982	4222
414	2991	4216
415	3000	4212
416	3008	4206
417	3016	4200
418	3024	4194
419	3032	4188
420	3040	4181
421	3047	4174
422	3055	4167
423	3061	4159
424	3069	4152
425	3075	4144
426	3082	4136
427	3089	4128
428	3095	4119
429	3102	4111
430	3109	4105
431	3114	4094
432	3122	4088
433	3129	4081
434	3137	4075
435	3144	4068
436	3152	4061
437	3159	4053
438	3166	4046
439	3174	4040
440	3181	4033
441	3189	4026
442	3196	4019
443	3203	4011
444	3210	4003
445	3217	3996
446	3223	3988
447	3230	3980
448	3237	3973
449	3244	3965
450	3251	3958
451	3259	3951
452	3266	3944
453	3273	3937
454	3280	3929
455	3287	3921
456	3294	3914
457	3301	3906
458	3307	3898
459	3315	3891
460	3323	3885
461	3329	3877
462	3336	3869
463	3343	3862
464	3350	3854
465	3357	3847
466	3363	3839
467	3370	3831
468	3377	3824
469	3384	3816
470	3392	3810
471	3400	3803
472	3407	3796
473	3414	3788
474	3421	3781
475	3428	3774
476	3436	3767
477	3442	3759
478	3449	3752
479	3456	3744
480	3463	3737
481	3471	3730
482	3478	3723
483	3485	3715
484	3492	3708
485	3499	3700
486	3506	3693
487	3513	3686
488	3520	3678
489	3527	3671
490	3534	3664
491	3541	3656
492	3548	3649
493	3554	3641
494	3562	3634
495	3569	3626
496	3576	3619
497	3583	3612
498	3590	3604
499	3596	3596
500	3604	3589
501	3611	3583
502	3619	3576
503	3626	3568
504	3633	3561
505	3640	3554
506	3647	3546
507	3654	3539
508	3661	3531
509	3668	3524
510	3675	3517
511	3683	3510
512	3690	3503
513	3698	3496
514	3705	3489
515	3713	3482
516	3720	3475
517	3726	3467
518	3734	3461
519	3742	3454
520	3749	3447
521	3756	3440
522	3764	3432
523	3770	3425
524	3777	3418
525	3785	3411
526	3793	3405
527	3800	3397
528	3808	3390
529	3811	3380
530	3818	3372
531	3825	3365
532	3832	3358
533	3840	3351
534	3847	3344
535	3854	3336
536	3862	3329
537	3869	3322
538	3873	3313
539	3881	3306
540	3886	3297
541	3893	3290
542	3900	3283
543	3908	3275
544	3915	3268
545	3922	3261
546	3929	3253
547	3936	3246
548	3943	3239
549	3950	3232
550	3957	3225
551	3965	3218
552	3972	3211
553	3979	3203
554	3987	3196
555	3994	3189
556	4001	3182
557	4008	3175
558	4015	3167
559	4022	3160
560	4029	3153
561	4037	3146
562	4044	3139
563	4051	3131
564	4057	3123
565	4065	3117
566	4072	3110
567	4080	3103
568	4088	3096
569	4094	3089
570	4102	3082
571	4109	3075
572	4118	3068
573	4127	3063
574	4134	3056
575	4142	3049
576	4150	3042
577	4156	3034
578	4165	3028
579	4173	3021
580	4181	3015
581	4190	3009
582	4198	3002
583	4205	2995
584	4212	2988
585	4220	2981
586	4228	2974
587	4235	2967
588	4242	2960
589	4249	2953
590	4257	2946
591	4264	2938
592	4271	2931
593	4278	2924
594	4286	2917
595	4293	2910
596	4300	2902
597	4307	2895
598	4315	2888
599	4323	2882
600	4330	2875
601	4338	2868
602	4345	2860
603	4352	2853
604	4359	2846
605	4366	2838
606	4373	2831
607	4380	2824
608	4388	2817
609	4394	2809
610	4401	2802
611	4407	2794
612	4415	2787
613	4422	2780
614	4426	2771
615	4433	2763
616	4439	2755
617	4446	2748
618	4453	2741
619	4460	2733
620	4467	2726
621	4474	2718
622	4481	2711
623	4488	2704
624	4495	2697
625	4501	2689
626	4508	2682
627	4515	2675
628	4522	2667
629	4529	2660
630	4536	2653
631	4543	2645
632	4551	2638
633	4557	2631
634	4565	2624
635	4573	2617
636	4580	2610
637	4588	2603
638	4595	2596
639	4603	2589
640	4609	2581
641	4616	2574
642	4623	2567
643	4630	2559
644	4637	2552
645	4643	2544
646	4651	2537
647	4658	2530
648	4665	2522
649	4672	2516
650	4680	2508
651	4687	2501
652	4694	2494
653	4701	2487
654	4708	2479
655	4715	2472
656	4722	2465
657	4729	2458
658	4736	2450
659	4743	2443
660	4751	2436
661	4757	2429
662	4764	2421
663	4771	2414
664	4778	2407
665	4786	2400
666	4793	2393
667	4801	2386
668	4808	2379
669	4815	2371
670	4823	2364
671	4830	2357
672	4838	2351
673	4845	2343
674	4853	2336
675	4860	2329
676	4867	2322
677	4873	2314
678	4880	2307
679	4888	2300
680	4895	2293
681	4903	2286
682	4909	2278
683	4916	2271
684	4923	2264
685	4930	2257
686	4938	2249
687	4945	2242
688	4952	2235
689	4958	2227
690	4964	2219
691	4971	2212
